Date,year,month,day,Province,Country,Location,Confirmed_no,Lat,Long
2020-01-21,2020,1,21,Anhui,Mainland China,China,0,31.82571,117.2264
2020-01-22,2020,1,22,Anhui,Mainland China,China,1,31.82571,117.2264
2020-01-23,2020,1,23,Anhui,Mainland China,China,9,31.82571,117.2264
2020-01-24,2020,1,24,Anhui,Mainland China,China,15,31.82571,117.2264
2020-01-25,2020,1,25,Anhui,Mainland China,China,60,31.82571,117.2264
2020-01-26,2020,1,26,Anhui,Mainland China,China,70,31.82571,117.2264
2020-01-27,2020,1,27,Anhui,Mainland China,China,106,31.82571,117.2264
2020-01-28,2020,1,28,Anhui,Mainland China,China,152,31.82571,117.2264
2020-01-29,2020,1,29,Anhui,Mainland China,China,200,31.82571,117.2264
2020-01-30,2020,1,30,Anhui,Mainland China,China,200,31.82571,117.2264
2020-01-31,2020,1,31,Anhui,Mainland China,China,237,31.82571,117.2264
2020-02-01,2020,2,1,Anhui,Mainland China,China,297,31.82571,117.2264
2020-02-02,2020,2,2,Anhui,Mainland China,China,408,31.82571,117.2264
2020-02-03,2020,2,3,Anhui,Mainland China,China,480,31.82571,117.2264
2020-02-04,2020,2,4,Anhui,Mainland China,China,530,31.82571,117.2264
2020-02-05,2020,2,5,Anhui,Mainland China,China,591,31.82571,117.2264
2020-02-06,2020,2,6,Anhui,Mainland China,China,591,31.82571,117.2264
2020-02-07,2020,2,7,Anhui,Mainland China,China,733,31.82571,117.2264
2020-02-08,2020,2,8,Anhui,Mainland China,China,779,31.82571,117.2264
2020-02-09,2020,2,9,Anhui,Mainland China,China,830,31.82571,117.2264
2020-02-10,2020,2,10,Anhui,Mainland China,China,830,31.82571,117.2264
2020-01-21,2020,1,21,Beijing,Mainland China,China,10,40.18238,116.4142
2020-01-22,2020,1,22,Beijing,Mainland China,China,14,40.18238,116.4142
2020-01-23,2020,1,23,Beijing,Mainland China,China,22,40.18238,116.4142
2020-01-24,2020,1,24,Beijing,Mainland China,China,36,40.18238,116.4142
2020-01-25,2020,1,25,Beijing,Mainland China,China,51,40.18238,116.4142
2020-01-26,2020,1,26,Beijing,Mainland China,China,68,40.18238,116.4142
2020-01-27,2020,1,27,Beijing,Mainland China,China,80,40.18238,116.4142
2020-01-28,2020,1,28,Beijing,Mainland China,China,91,40.18238,116.4142
2020-01-29,2020,1,29,Beijing,Mainland China,China,111,40.18238,116.4142
2020-01-30,2020,1,30,Beijing,Mainland China,China,114,40.18238,116.4142
2020-01-31,2020,1,31,Beijing,Mainland China,China,139,40.18238,116.4142
2020-02-01,2020,2,1,Beijing,Mainland China,China,168,40.18238,116.4142
2020-02-02,2020,2,2,Beijing,Mainland China,China,191,40.18238,116.4142
2020-02-03,2020,2,3,Beijing,Mainland China,China,212,40.18238,116.4142
2020-02-04,2020,2,4,Beijing,Mainland China,China,228,40.18238,116.4142
2020-02-05,2020,2,5,Beijing,Mainland China,China,274,40.18238,116.4142
2020-02-06,2020,2,6,Beijing,Mainland China,China,274,40.18238,116.4142
2020-02-07,2020,2,7,Beijing,Mainland China,China,315,40.18238,116.4142
2020-02-08,2020,2,8,Beijing,Mainland China,China,326,40.18238,116.4142
2020-02-09,2020,2,9,Beijing,Mainland China,China,337,40.18238,116.4142
2020-02-10,2020,2,10,Beijing,Mainland China,China,337,40.18238,116.4142
2020-01-21,2020,1,21,Chongqing,Mainland China,China,5,30.05718,107.874
2020-01-22,2020,1,22,Chongqing,Mainland China,China,6,30.05718,107.874
2020-01-23,2020,1,23,Chongqing,Mainland China,China,9,30.05718,107.874
2020-01-24,2020,1,24,Chongqing,Mainland China,China,27,30.05718,107.874
2020-01-25,2020,1,25,Chongqing,Mainland China,China,75,30.05718,107.874
2020-01-26,2020,1,26,Chongqing,Mainland China,China,110,30.05718,107.874
2020-01-27,2020,1,27,Chongqing,Mainland China,China,132,30.05718,107.874
2020-01-28,2020,1,28,Chongqing,Mainland China,China,147,30.05718,107.874
2020-01-29,2020,1,29,Chongqing,Mainland China,China,165,30.05718,107.874
2020-01-30,2020,1,30,Chongqing,Mainland China,China,182,30.05718,107.874
2020-01-31,2020,1,31,Chongqing,Mainland China,China,211,30.05718,107.874
2020-02-01,2020,2,1,Chongqing,Mainland China,China,247,30.05718,107.874
2020-02-02,2020,2,2,Chongqing,Mainland China,China,300,30.05718,107.874
2020-02-03,2020,2,3,Chongqing,Mainland China,China,337,30.05718,107.874
2020-02-04,2020,2,4,Chongqing,Mainland China,China,366,30.05718,107.874
2020-02-05,2020,2,5,Chongqing,Mainland China,China,389,30.05718,107.874
2020-02-06,2020,2,6,Chongqing,Mainland China,China,400,30.05718,107.874
2020-02-07,2020,2,7,Chongqing,Mainland China,China,426,30.05718,107.874
2020-02-08,2020,2,8,Chongqing,Mainland China,China,446,30.05718,107.874
2020-02-09,2020,2,9,Chongqing,Mainland China,China,468,30.05718,107.874
2020-02-10,2020,2,10,Chongqing,Mainland China,China,473,30.05718,107.874
2020-01-21,2020,1,21,Fujian,Mainland China,China,0,26.07783,117.9895
2020-01-22,2020,1,22,Fujian,Mainland China,China,1,26.07783,117.9895
2020-01-23,2020,1,23,Fujian,Mainland China,China,5,26.07783,117.9895
2020-01-24,2020,1,24,Fujian,Mainland China,China,10,26.07783,117.9895
2020-01-25,2020,1,25,Fujian,Mainland China,China,18,26.07783,117.9895
2020-01-26,2020,1,26,Fujian,Mainland China,China,35,26.07783,117.9895
2020-01-27,2020,1,27,Fujian,Mainland China,China,59,26.07783,117.9895
2020-01-28,2020,1,28,Fujian,Mainland China,China,82,26.07783,117.9895
2020-01-29,2020,1,29,Fujian,Mainland China,China,101,26.07783,117.9895
2020-01-30,2020,1,30,Fujian,Mainland China,China,101,26.07783,117.9895
2020-01-31,2020,1,31,Fujian,Mainland China,China,120,26.07783,117.9895
2020-02-01,2020,2,1,Fujian,Mainland China,China,144,26.07783,117.9895
2020-02-02,2020,2,2,Fujian,Mainland China,China,159,26.07783,117.9895
2020-02-03,2020,2,3,Fujian,Mainland China,China,179,26.07783,117.9895
2020-02-04,2020,2,4,Fujian,Mainland China,China,194,26.07783,117.9895
2020-02-05,2020,2,5,Fujian,Mainland China,China,215,26.07783,117.9895
2020-02-06,2020,2,6,Fujian,Mainland China,China,215,26.07783,117.9895
2020-02-07,2020,2,7,Fujian,Mainland China,China,239,26.07783,117.9895
2020-02-08,2020,2,8,Fujian,Mainland China,China,250,26.07783,117.9895
2020-02-09,2020,2,9,Fujian,Mainland China,China,261,26.07783,117.9895
2020-02-10,2020,2,10,Fujian,Mainland China,China,261,26.07783,117.9895
2020-01-21,2020,1,21,Gansu,Mainland China,China,0,36.0611,103.8343
2020-01-22,2020,1,22,Gansu,Mainland China,China,0,36.0611,103.8343
2020-01-23,2020,1,23,Gansu,Mainland China,China,2,36.0611,103.8343
2020-01-24,2020,1,24,Gansu,Mainland China,China,2,36.0611,103.8343
2020-01-25,2020,1,25,Gansu,Mainland China,China,7,36.0611,103.8343
2020-01-26,2020,1,26,Gansu,Mainland China,China,14,36.0611,103.8343
2020-01-27,2020,1,27,Gansu,Mainland China,China,19,36.0611,103.8343
2020-01-28,2020,1,28,Gansu,Mainland China,China,24,36.0611,103.8343
2020-01-29,2020,1,29,Gansu,Mainland China,China,26,36.0611,103.8343
2020-01-30,2020,1,30,Gansu,Mainland China,China,26,36.0611,103.8343
2020-01-31,2020,1,31,Gansu,Mainland China,China,29,36.0611,103.8343
2020-02-01,2020,2,1,Gansu,Mainland China,China,35,36.0611,103.8343
2020-02-02,2020,2,2,Gansu,Mainland China,China,51,36.0611,103.8343
2020-02-03,2020,2,3,Gansu,Mainland China,China,55,36.0611,103.8343
2020-02-04,2020,2,4,Gansu,Mainland China,China,57,36.0611,103.8343
2020-02-05,2020,2,5,Gansu,Mainland China,China,62,36.0611,103.8343
2020-02-06,2020,2,6,Gansu,Mainland China,China,62,36.0611,103.8343
2020-02-07,2020,2,7,Gansu,Mainland China,China,71,36.0611,103.8343
2020-02-08,2020,2,8,Gansu,Mainland China,China,79,36.0611,103.8343
2020-02-09,2020,2,9,Gansu,Mainland China,China,83,36.0611,103.8343
2020-02-10,2020,2,10,Gansu,Mainland China,China,83,36.0611,103.8343
2020-01-21,2020,1,21,Guangdong,Mainland China,China,17,23.33841,113.422
2020-01-22,2020,1,22,Guangdong,Mainland China,China,26,23.33841,113.422
2020-01-23,2020,1,23,Guangdong,Mainland China,China,32,23.33841,113.422
2020-01-24,2020,1,24,Guangdong,Mainland China,China,53,23.33841,113.422
2020-01-25,2020,1,25,Guangdong,Mainland China,China,98,23.33841,113.422
2020-01-26,2020,1,26,Guangdong,Mainland China,China,146,23.33841,113.422
2020-01-27,2020,1,27,Guangdong,Mainland China,China,151,23.33841,113.422
2020-01-28,2020,1,28,Guangdong,Mainland China,China,241,23.33841,113.422
2020-01-29,2020,1,29,Guangdong,Mainland China,China,311,23.33841,113.422
2020-01-30,2020,1,30,Guangdong,Mainland China,China,354,23.33841,113.422
2020-01-31,2020,1,31,Guangdong,Mainland China,China,436,23.33841,113.422
2020-02-01,2020,2,1,Guangdong,Mainland China,China,535,23.33841,113.422
2020-02-02,2020,2,2,Guangdong,Mainland China,China,683,23.33841,113.422
2020-02-03,2020,2,3,Guangdong,Mainland China,China,725,23.33841,113.422
2020-02-04,2020,2,4,Guangdong,Mainland China,China,870,23.33841,113.422
2020-02-05,2020,2,5,Guangdong,Mainland China,China,944,23.33841,113.422
2020-02-06,2020,2,6,Guangdong,Mainland China,China,970,23.33841,113.422
2020-02-07,2020,2,7,Guangdong,Mainland China,China,1075,23.33841,113.422
2020-02-08,2020,2,8,Guangdong,Mainland China,China,1120,23.33841,113.422
2020-02-09,2020,2,9,Guangdong,Mainland China,China,1151,23.33841,113.422
2020-02-10,2020,2,10,Guangdong,Mainland China,China,1159,23.33841,113.422
2020-01-21,2020,1,21,Guangxi,Mainland China,China,0,23.82908,108.7881
2020-01-22,2020,1,22,Guangxi,Mainland China,China,2,23.82908,108.7881
2020-01-23,2020,1,23,Guangxi,Mainland China,China,5,23.82908,108.7881
2020-01-24,2020,1,24,Guangxi,Mainland China,China,23,23.82908,108.7881
2020-01-25,2020,1,25,Guangxi,Mainland China,China,33,23.82908,108.7881
2020-01-26,2020,1,26,Guangxi,Mainland China,China,46,23.82908,108.7881
2020-01-27,2020,1,27,Guangxi,Mainland China,China,51,23.82908,108.7881
2020-01-28,2020,1,28,Guangxi,Mainland China,China,58,23.82908,108.7881
2020-01-29,2020,1,29,Guangxi,Mainland China,China,78,23.82908,108.7881
2020-01-30,2020,1,30,Guangxi,Mainland China,China,78,23.82908,108.7881
2020-01-31,2020,1,31,Guangxi,Mainland China,China,87,23.82908,108.7881
2020-02-01,2020,2,1,Guangxi,Mainland China,China,100,23.82908,108.7881
2020-02-02,2020,2,2,Guangxi,Mainland China,China,127,23.82908,108.7881
2020-02-03,2020,2,3,Guangxi,Mainland China,China,139,23.82908,108.7881
2020-02-04,2020,2,4,Guangxi,Mainland China,China,150,23.82908,108.7881
2020-02-05,2020,2,5,Guangxi,Mainland China,China,168,23.82908,108.7881
2020-02-06,2020,2,6,Guangxi,Mainland China,China,168,23.82908,108.7881
2020-02-07,2020,2,7,Guangxi,Mainland China,China,183,23.82908,108.7881
2020-02-08,2020,2,8,Guangxi,Mainland China,China,195,23.82908,108.7881
2020-02-09,2020,2,9,Guangxi,Mainland China,China,210,23.82908,108.7881
2020-02-10,2020,2,10,Guangxi,Mainland China,China,210,23.82908,108.7881
2020-01-21,2020,1,21,Guizhou,Mainland China,China,0,26.81536,106.8748
2020-01-22,2020,1,22,Guizhou,Mainland China,China,1,26.81536,106.8748
2020-01-23,2020,1,23,Guizhou,Mainland China,China,3,26.81536,106.8748
2020-01-24,2020,1,24,Guizhou,Mainland China,China,3,26.81536,106.8748
2020-01-25,2020,1,25,Guizhou,Mainland China,China,5,26.81536,106.8748
2020-01-26,2020,1,26,Guizhou,Mainland China,China,7,26.81536,106.8748
2020-01-27,2020,1,27,Guizhou,Mainland China,China,9,26.81536,106.8748
2020-01-28,2020,1,28,Guizhou,Mainland China,China,9,26.81536,106.8748
2020-01-29,2020,1,29,Guizhou,Mainland China,China,12,26.81536,106.8748
2020-01-30,2020,1,30,Guizhou,Mainland China,China,12,26.81536,106.8748
